,
size,small
school,funny
size,only
money,enough
battery,good
,
,
,
reason,many
,
,
,
,
saw,wrong
,
,few
,
place,inconvenient
,
,
,fine
,
zoom,
,
,
start-up,noisy
,
,dissapointing
problem,last
,
override,manual
,
,
choice,
beginner,other
camera,
,digital
,
gem,
,
camera,regular
,
,
,
,impossible
camera,
,fuzzy
autofocus,slow
memory,larger
,
,
,
,
,
quality,photo
to,high-end
,
camera,
resolution,excelent
,
,
software,easy
,
,
film,colored
,
,
,stylish
,
,
,
,
slr,
money,much
,
,
.,real
,
profile,front
zoom,optical
place,hot
design,major
,
,
,
background,automatic
,
,
,useful
,
card,64mb
,
,
,dark
zoom,
,
,
competitor,
camera,portable
,
pouch,
battery,
,
memory,
,
,
canon,new
,
resolution,normal
,
,was
,
,
,
,
,
thing,
price,low
,
price,
,
camera,
,
,
battery,
,
amatuer,advanced
quality,
,
equipment,candid
,
camera,
camera,
resolution,ready
elph,second
painting,future
elph,
filmstrip,virtual
,
battery,
complaint,intuitive
,
,
,
photostitch,wide
design,diminutive
camera,ultra-portable
camera,
,
pocket,
camera,fancy
,
,
,
,
camera,
job,excellent
camera,avid
jewel,
,
,
,
cf,128mb
problem,
,
,
,
battery,
,
,
,
,
,extensive
,
image,
picture,exact
,single-lens
photography,
,
,
elph,
camera,
,
battery,
,
park,beautiful
review,instant
cap,shutter-like
,
,
photography,
photography,
,
,
entertainment,personal
battery,soft
memory,additional
card,8mb
elph,
photography,
,
color,critical
,
,
,
,
etc,rugged
housing,waterproof
camera,
housing,
metal,own
,
,
manual,true
mode,
,dense
exposure,
range,dynamic
,
lcd,crisp
,
,
,
battery,
,
exposure,
5x7,acceptable
,
jewel,
,
,
,
,near
,
quality,
,
,
,
1600x1200,600kb
,
,
package,
,clear
,
,
.,panoramic
,steady
,
,single
,
,
show,detial
casing,hi-tech
camera,
,
investment,
,
camera,
battery,192mb
,fanatic
4x,effective
household,complete
,pricy
,
resolution,
,
,
impression,
,
,
camera,
,
,
memory,
side,onthe
,
,
,
case,
memory,intelliflash
,
,
,
case,
point,inconsistent
,
,
,
,
,
,
,
flash,
,
center,happy
,
toy,
size,
,bulky
camera,
,small
camera,funny
thing,small
,enough
card,good
,
camera,
camera,
,same
,
,
,
,small
quality,first
quality,
,few
,
place,nearest
span,
work,longest
,spare
problem,
zoom,small
,
function,
,noisy
flash,
,dissapointing
problem,last
auto-focus,
,manual
focus,
,
,first
thing,other
,great
,digital
,
,little
,
,digital
,
,other
,
,tiny
size,steady
delay,fuzzy
,slow
problem,compactflash
,
camera,
,
canon,
,
camera,photo
,toy
,digital
,digital
,excelent
,
,
,easy
,
battery,
color,35-mm
,
camera,
,stylish
,other
,
,
,
camera,high-end
,much
,
,
i,complaint
body,
,front
manufacturer,digital
,hot
,major
screen,
screen,
,
camera,automatic
,
,
,useful
camera,
,64mb
viewfinder,
,
,dark
zoom,digital
,
,
competitor,closest
camera,portable
,
tamrac,tiny
front,extra
setting,
,perfect
,little
flash,
s300,new
mode,
,normal
price,
,compatible
,
,new
software,
,gorgeous
,
thing,first
,low
,
,low
,
camera,digital
apple,
elph,
,great
,few
,advanced
,good
,
wife,candid
,
job,digital
camera,digital
canon,digital
,digital
camera,future
software,digital
,virtual
software,
,extra
,on-camera
,
,
rendering,
,wide
elph,diminutive
,ultra-portable
,digital
,
,front
camera,fancy
,
,
,extra
,
,digital
,excellent
,avid
,little
,
,
,
,128mb
,slightest
,
,
battery,good
deal,second
,
focus,
,
,
,extensive
,same
camera,digital
something,exact
,single-lens
,digital
,few
,digital
time,digital
,coolest
size,
charger,
,
,beautiful
camera,instant
zoom,shutter-like
,
,
,digital
,digital
,
,
,personal
,extra
,additional
,8mb
price,digital
,digital
,
detail,fine
,few
,
,intuitive
,
,easy
,waterproof
,only
,waterproof
lens,own
metal,
turn-on,
,true
,manual
,dense
,light
range,dynamic
camera,
lcd,backlit
,
,
card,
,spare
anyone,
,manual
1600x1200,acceptable
,compact
,little
,
,
,
,near
,
,picture
,
,
kicks,
,600kb
,
,
,software
,but
,
,
,deal
,fingers
size,
,single
,
,
,detial
camera,hi-tech
,digital
love,
,good
,
,digital
,large
,fanatic
,effective
,complete
camera,pricy
,years
,other
,small
,
impression,other
,astounding
,little
elph,great
,good
size,
,extra
person,dark
wife,
,
,
,extra
,intelliflash
,digital
,
function,
,large
,results
s100,
,
,
,
camera,
,
,
,compact
camera,
,happy
,
,new
,small
,bulky
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
while,
,
,
,
compact,
,
,
,
,
,
,
consideration,
,
,
,
life,
minutes,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
mind,
,
,
marketplace,
,
advantage,
,
,
,
,
reading,
,
shutter,
,
,
,
,
,
,
,
,
mm,
,
,
,
,
,
,
,
,
,
,
,
market,
,
,
,
,
,
,
,
,
wallet,
,
idea,
,
screen,
,
,
,
,
,
,
mb,
,
charge,
default,
,
,
,
,
,
,
,
,
,
,
,
,
circle,
,
option,
%,
clip,
,
,
,
,
backup,
application,
,
,
,
,
,
,
,
,
,
button,
,
,
,
,
,
house,
,
,
,
,
,
artist,
,
,
,
,
,
way,
,
,
,
,
pound,
debating,
,
levi,
,
,
,
sale,
,
first,
,
,
gift,
expandability,
,
edge,
,
,
,
,
,
,
,
razor,
,
oil,
,
,
,
shot,
baby,
new,
.,
,
scotia,
,
,
,
,
bunch,
spot,
lo,
pc,
system,
,
,
,
,
drift,
,
,
,
confusion,
,
,
,
,
,
,
,
,
kayaking,
,
,
cover,
,
,
,
,
,
conditions,
,
,
sunlight,
,
field,
,
,
auto,
lot,
,
none,
,
,
,
,
,
shist,
to,
,
,
,
,
,
,
,
tft,
,
,
,
anything,
,
,
course,
,
post,
,
,
,
,
,
,
,
webshot,
,
,
cd,
,
,
,
,
,
nothing,
,
,
,
,
,
,
computer,
,
,
,
,
,
olympus,
,
,
,
,
,
computer,
,
,
box,
,
,
,
ease,
,
,
,
capture,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
but,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
flaw,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
zipper,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
reader,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
viewing,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
processing,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
slot,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
convenience,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
reduction,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
practice,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
of,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
